city,sqft,bedrooms,bathrooms,lot_size_acres,year_built,age_years,school_rating,distance_from_center_miles,property_tax_rate,price,price_per_sqft,zip_code,metro,listing_date
Austin,2083,4,4.0,0.781,2001,23,9.7,9.8,0.0212,769915,369.62,78745,Austin-Round Rock-Georgetown,2023-04-21
Dallas,2089,4,3.5,0.43,1989,35,5.6,10.2,0.0215,416486,199.37,75204,Dallas-Fort Worth-Arlington,2024-05-02
Austin,3460,3,2.5,0.154,1997,27,7.8,6.8,0.0223,1148082,331.82,78748,Austin-Round Rock-Georgetown,2023-10-29
Houston,3088,4,3.5,0.259,1977,47,7.9,10.5,0.0237,555951,180.04,77079,Houston-The Woodlands-Sugar Land,2023-06-26
Fort Worth,1441,3,2.5,0.558,2017,7,9.0,23.9,0.0238,269562,187.07,76107,Dallas-Fort Worth-Arlington,2023-02-02
Fort Worth,2635,4,4.0,0.156,2001,23,4.5,38.1,0.0212,436285,165.57,76102,Dallas-Fort Worth-Arlington,2023-01-10
San Antonio,1368,4,3.0,0.822,2014,10,4.5,13.4,0.0215,226204,165.35,78250,San Antonio-New Braunfels,2024-02-10
Houston,2288,4,2.5,0.176,1992,32,8.7,28.9,0.0237,311786,136.27,77079,Houston-The Woodlands-Sugar Land,2023-07-26
San Antonio,1911,4,3.0,0.077,1967,57,6.1,8.8,0.0242,292719,153.18,78216,San Antonio-New Braunfels,2024-04-04
San Antonio,1548,3,2.5,0.122,1990,34,6.5,24.4,0.0206,209788,135.52,78230,San Antonio-New Braunfels,2023-05-07
Houston,2842,4,4.0,0.243,2017,7,8.9,19.6,0.0228,584932,205.82,77007,Houston-The Woodlands-Sugar Land,2024-05-18
Dallas,1343,3,3.0,0.158,2004,20,6.7,16.8,0.0228,276077,205.57,75201,Dallas-Fort Worth-Arlington,2024-05-30
Austin,1517,3,3.0,0.109,1990,34,8.3,12.7,0.0214,423605,279.24,78750,Austin-Round Rock-Georgetown,2023-02-25
Houston,3206,3,2.0,0.161,1973,51,6.0,40.4,0.024,474448,147.99,77019,Houston-The Woodlands-Sugar Land,2023-12-20
Dallas,2513,3,3.0,0.121,2016,8,8.3,12.7,0.0235,510831,203.28,75204,Dallas-Fort Worth-Arlington,2024-05-29
Austin,1911,3,2.0,0.151,2016,8,8.1,21.9,0.0208,582169,304.64,78745,Austin-Round Rock-Georgetown,2023-06-26
Austin,1905,3,2.0,0.533,1968,56,7.9,12.4,0.0213,516471,271.11,78701,Austin-Round Rock-Georgetown,2023-02-06
San Antonio,1428,3,2.0,0.229,1973,51,5.9,29.5,0.0241,206450,144.57,78201,San Antonio-New Braunfels,2024-04-23
Fort Worth,1532,4,2.5,0.27,1973,51,6.7,28.6,0.0228,256302,167.3,76102,Dallas-Fort Worth-Arlington,2023-09-17
Dallas,2136,3,2.0,0.181,1972,52,5.9,11.0,0.0214,403616,188.96,75205,Dallas-Fort Worth-Arlington,2023-01-15
San Antonio,1770,2,2.0,0.118,1961,63,7.0,28.2,0.0224,220360,124.5,78209,San Antonio-New Braunfels,2024-04-04
Fort Worth,2214,3,2.5,1.505,2018,6,6.9,18.8,0.0225,465639,210.32,76102,Dallas-Fort Worth-Arlington,2024-01-07
Austin,2545,3,3.0,0.842,2018,6,8.8,7.9,0.0218,791022,310.81,78703,Austin-Round Rock-Georgetown,2023-02-08
Houston,3039,4,3.0,0.14,2008,16,6.1,46.3,0.0231,473999,155.97,77019,Houston-The Woodlands-Sugar Land,2023-05-22
Houston,1489,3,2.0,0.25,2006,18,8.0,16.6,0.0246,232256,155.98,77024,Houston-The Woodlands-Sugar Land,2023-01-10
Austin,1769,3,2.5,0.634,2014,10,6.0,11.8,0.0228,486878,275.23,78704,Austin-Round Rock-Georgetown,2024-06-06
San Antonio,2311,3,2.0,0.28,1962,62,7.2,38.6,0.0244,301306,130.38,78258,San Antonio-New Braunfels,2023-01-14
Houston,1790,4,4.0,0.103,2007,17,6.5,23.2,0.0225,326392,182.34,77056,Houston-The Woodlands-Sugar Land,2024-03-11
Dallas,4316,3,2.5,0.331,2002,22,7.5,37.0,0.0222,797574,184.79,75204,Dallas-Fort Worth-Arlington,2023-10-07
Austin,1112,3,2.0,0.226,1997,27,6.5,26.2,0.0215,313610,282.02,78750,Austin-Round Rock-Georgetown,2023-11-15
Houston,1630,5,3.5,0.13,1962,62,8.2,26.3,0.0228,310638,190.58,77024,Houston-The Woodlands-Sugar Land,2024-03-19
Fort Worth,1985,3,2.0,0.81,1990,34,6.3,43.5,0.0216,343620,173.11,76102,Dallas-Fort Worth-Arlington,2024-05-04
Austin,2368,2,2.0,0.343,1974,50,10.0,12.3,0.0215,685786,289.61,78703,Austin-Round Rock-Georgetown,2023-03-11
Houston,1892,5,3.5,0.133,2005,19,8.7,30.1,0.0251,347364,183.6,77056,Houston-The Woodlands-Sugar Land,2023-01-10
Houston,2181,4,3.0,0.081,2017,7,7.6,25.9,0.0229,374184,171.57,77056,Houston-The Woodlands-Sugar Land,2023-03-10
Dallas,1529,3,2.0,0.245,2006,18,9.7,37.8,0.0205,284394,186.0,75205,Dallas-Fort Worth-Arlington,2024-01-09
Dallas,2269,3,2.5,0.227,2014,10,7.2,46.9,0.0217,457945,201.83,75201,Dallas-Fort Worth-Arlington,2023-11-07
Dallas,1367,5,4.0,0.345,1988,36,6.1,18.2,0.0206,294418,215.38,75204,Dallas-Fort Worth-Arlington,2023-02-15
Austin,2442,3,3.0,0.091,2001,23,7.3,33.7,0.0216,669722,274.25,78701,Austin-Round Rock-Georgetown,2023-05-09
Houston,1910,4,4.0,0.529,1998,26,6.6,56.6,0.0229,320897,168.01,77056,Houston-The Woodlands-Sugar Land,2023-10-21
San Antonio,2363,4,3.0,0.227,1992,32,8.3,25.9,0.0214,406190,171.9,78216,San Antonio-New Braunfels,2024-02-04
Dallas,1848,2,1.0,0.159,1985,39,9.0,21.3,0.0222,350323,189.57,75205,Dallas-Fort Worth-Arlington,2023-07-07
Dallas,2775,4,2.5,0.259,1974,50,7.4,33.4,0.0219,537096,193.55,75230,Dallas-Fort Worth-Arlington,2024-06-03
Dallas,3352,5,4.5,0.137,1968,56,9.0,26.9,0.0223,742675,221.56,75230,Dallas-Fort Worth-Arlington,2024-06-26
San Antonio,2154,2,1.0,0.253,1987,37,6.8,13.3,0.0234,307850,142.92,78250,San Antonio-New Braunfels,2024-02-24
Austin,2541,4,3.5,0.189,1963,61,6.6,19.6,0.0216,967729,380.85,78701,Austin-Round Rock-Georgetown,2023-09-06
Houston,3251,4,2.5,0.258,1984,40,5.6,9.2,0.0221,536983,165.17,77024,Houston-The Woodlands-Sugar Land,2024-04-24
Dallas,1063,2,1.0,0.158,1961,63,6.4,15.2,0.0237,184052,173.14,75254,Dallas-Fort Worth-Arlington,2024-02-03
Houston,1775,3,3.0,0.148,1984,40,5.9,36.5,0.0226,249122,140.35,77056,Houston-The Woodlands-Sugar Land,2023-10-12
San Antonio,1924,3,3.0,0.228,2014,10,7.5,20.0,0.0247,321187,166.94,78209,San Antonio-New Braunfels,2023-08-31
Dallas,3088,3,2.0,0.199,1980,44,8.4,13.6,0.0221,567336,183.72,75205,Dallas-Fort Worth-Arlington,2024-03-31
San Antonio,2197,2,1.0,0.3,1989,35,6.3,6.1,0.021,260903,118.75,78258,San Antonio-New Braunfels,2023-11-01
San Antonio,1496,5,5.0,0.443,2016,8,7.4,27.3,0.0231,270035,180.5,78201,San Antonio-New Braunfels,2023-04-11
Dallas,2781,3,2.0,0.386,1977,47,4.4,15.6,0.0217,533256,191.75,75225,Dallas-Fort Worth-Arlington,2024-06-30
Fort Worth,3172,5,3.0,0.116,1967,57,5.6,17.8,0.0215,511713,161.32,76102,Dallas-Fort Worth-Arlington,2023-02-07
Dallas,2430,3,2.5,0.139,2014,10,7.2,17.7,0.0237,369901,152.22,75254,Dallas-Fort Worth-Arlington,2024-01-16
San Antonio,1463,4,3.0,0.2,1988,36,6.3,11.5,0.0226,236436,161.61,78201,San Antonio-New Braunfels,2023-12-25
Houston,1956,2,1.0,0.233,1977,47,4.7,27.7,0.0225,285220,145.82,77002,Houston-The Woodlands-Sugar Land,2023-11-17
Dallas,2388,2,1.5,0.144,2022,2,5.7,12.7,0.0233,472068,197.68,75204,Dallas-Fort Worth-Arlington,2023-01-29
Dallas,1417,2,2.0,0.256,1960,64,5.1,8.1,0.0225,201923,142.5,75204,Dallas-Fort Worth-Arlington,2023-09-27
Austin,1661,2,1.5,0.165,1977,47,7.7,21.4,0.0218,430311,259.07,78704,Austin-Round Rock-Georgetown,2024-05-03
Houston,2123,3,3.0,0.375,1975,49,8.3,16.2,0.0225,351153,165.4,77007,Houston-The Woodlands-Sugar Land,2023-05-12
Fort Worth,1896,4,3.0,0.398,1990,34,6.6,27.6,0.022,366114,193.1,76107,Dallas-Fort Worth-Arlington,2024-01-14
Dallas,1336,3,2.5,0.262,1984,40,6.4,5.2,0.0209,256833,192.24,75225,Dallas-Fort Worth-Arlington,2024-04-14
Austin,1936,4,3.0,0.189,1963,61,8.1,24.3,0.0209,605362,312.69,78704,Austin-Round Rock-Georgetown,2024-06-04
Houston,1514,3,3.0,0.296,1980,44,6.0,20.8,0.0235,235542,155.58,77079,Houston-The Woodlands-Sugar Land,2023-10-10
Houston,1788,3,3.0,0.189,1970,54,6.3,11.3,0.0231,282745,158.13,77019,Houston-The Woodlands-Sugar Land,2023-06-21
Austin,1725,3,2.0,0.274,2020,4,8.8,12.4,0.0209,512099,296.87,78704,Austin-Round Rock-Georgetown,2024-01-18
Fort Worth,1657,3,2.5,0.248,1972,52,5.8,8.7,0.0226,270500,163.25,76109,Dallas-Fort Worth-Arlington,2023-09-23
Houston,1633,3,2.5,0.534,1962,62,6.3,19.8,0.0241,216832,132.78,77007,Houston-The Woodlands-Sugar Land,2023-12-10
Houston,3788,3,2.5,0.221,1999,25,5.9,19.3,0.0226,639345,168.78,77056,Houston-The Woodlands-Sugar Land,2024-02-10
Dallas,1933,5,5.0,0.245,2017,7,5.8,7.9,0.024,433386,224.2,75254,Dallas-Fort Worth-Arlington,2024-01-24
Austin,1823,3,2.5,0.521,1972,52,8.8,6.6,0.0201,568319,311.75,78703,Austin-Round Rock-Georgetown,2023-05-13
Houston,1937,3,3.0,0.122,1974,50,8.6,54.7,0.0228,314048,162.13,77007,Houston-The Woodlands-Sugar Land,2024-02-18
San Antonio,1347,3,2.5,0.122,1993,31,6.2,12.7,0.0222,207782,154.26,78209,San Antonio-New Braunfels,2023-10-24
Dallas,1580,3,2.0,0.474,1988,36,6.0,18.0,0.0215,283188,179.23,75204,Dallas-Fort Worth-Arlington,2024-05-24
Fort Worth,2518,3,3.0,0.184,1964,60,7.2,13.5,0.0208,401242,159.35,76109,Dallas-Fort Worth-Arlington,2023-12-27
Dallas,1753,3,3.0,0.175,1998,26,9.0,31.5,0.0214,311114,177.48,75254,Dallas-Fort Worth-Arlington,2024-05-02
Dallas,2295,3,3.0,0.158,2019,5,9.4,7.6,0.0229,494314,215.39,75225,Dallas-Fort Worth-Arlington,2024-06-19
San Antonio,1765,3,2.0,0.351,1990,34,8.6,26.5,0.0219,234060,132.61,78201,San Antonio-New Braunfels,2024-06-27
Fort Worth,1313,4,3.5,0.569,2002,22,7.6,23.6,0.0215,270251,205.83,76107,Dallas-Fort Worth-Arlington,2024-02-12
San Antonio,1940,4,3.5,0.215,1986,38,5.5,21.6,0.0224,301807,155.57,78230,San Antonio-New Braunfels,2023-11-23
Fort Worth,1727,5,4.5,0.592,1975,49,8.1,16.5,0.0215,407046,235.7,76107,Dallas-Fort Worth-Arlington,2023-03-06
San Antonio,1753,3,2.5,0.227,1964,60,8.6,8.0,0.023,305209,174.11,78230,San Antonio-New Braunfels,2023-07-31
Fort Worth,1997,4,4.0,0.448,2006,18,6.1,19.1,0.0206,435685,218.17,76109,Dallas-Fort Worth-Arlington,2023-09-18
Austin,2686,4,3.0,0.452,2005,19,7.7,8.1,0.0197,880388,327.77,78703,Austin-Round Rock-Georgetown,2024-03-02
San Antonio,1260,3,3.0,0.187,1996,28,6.9,11.1,0.0226,218048,173.05,78230,San Antonio-New Braunfels,2023-11-19
Houston,1891,4,4.0,0.583,1983,41,6.2,37.2,0.0229,338709,179.12,77019,Houston-The Woodlands-Sugar Land,2023-08-29
Dallas,2445,4,2.5,0.114,2005,19,8.1,14.8,0.0223,495366,202.6,75201,Dallas-Fort Worth-Arlington,2023-03-22
Dallas,2030,3,3.0,0.185,1963,61,6.6,17.5,0.0221,362849,178.74,75205,Dallas-Fort Worth-Arlington,2024-01-27
Fort Worth,1904,4,2.5,0.442,2013,11,7.3,35.9,0.0198,277924,145.97,76107,Dallas-Fort Worth-Arlington,2023-08-25
Fort Worth,1756,3,2.0,0.265,1993,31,8.1,11.3,0.0222,314349,179.01,76102,Dallas-Fort Worth-Arlington,2023-01-20
Houston,2330,2,2.0,0.22,2022,2,8.9,14.8,0.0237,379120,162.71,77079,Houston-The Woodlands-Sugar Land,2023-06-05
San Antonio,1767,2,1.0,0.05,1995,29,2.8,30.2,0.0237,228783,129.48,78216,San Antonio-New Braunfels,2024-04-26
San Antonio,1939,4,4.0,0.236,2017,7,5.3,36.5,0.0247,303697,156.63,78201,San Antonio-New Braunfels,2023-03-06
Houston,2093,3,3.0,0.245,2007,17,6.5,28.0,0.0224,344803,164.74,77079,Houston-The Woodlands-Sugar Land,2023-08-11
Austin,1232,5,3.0,0.361,1984,40,7.9,13.1,0.0203,457468,371.32,78748,Austin-Round Rock-Georgetown,2023-10-08
Austin,1460,3,2.0,0.194,1968,56,6.1,12.5,0.0223,406780,278.62,78701,Austin-Round Rock-Georgetown,2023-02-15
San Antonio,1822,2,1.0,0.126,1977,47,6.5,26.3,0.0214,216894,119.04,78205,San Antonio-New Braunfels,2023-04-01
Dallas,1321,4,2.5,0.108,2002,22,7.3,9.9,0.021,242708,183.73,75205,Dallas-Fort Worth-Arlington,2024-05-29
Fort Worth,1437,3,2.0,0.31,2021,3,6.0,29.2,0.0208,243731,169.61,76109,Dallas-Fort Worth-Arlington,2023-11-20
Dallas,2031,4,2.5,0.126,1977,47,8.0,52.4,0.0204,354296,174.44,75230,Dallas-Fort Worth-Arlington,2023-04-26
Fort Worth,1844,4,2.5,0.107,1976,48,8.7,9.8,0.0216,380514,206.35,76107,Dallas-Fort Worth-Arlington,2023-04-03
Houston,2081,3,3.0,0.204,1963,61,5.9,24.4,0.0216,341574,164.14,77024,Houston-The Woodlands-Sugar Land,2023-08-21
San Antonio,2018,5,4.0,0.18,1997,27,5.6,12.2,0.0223,331984,164.51,78201,San Antonio-New Braunfels,2024-01-31
Austin,1480,3,2.0,0.223,2001,23,8.3,25.5,0.0235,474032,320.29,78745,Austin-Round Rock-Georgetown,2024-02-04
Dallas,3028,3,3.0,0.546,1989,35,8.3,25.6,0.0218,602510,198.98,75254,Dallas-Fort Worth-Arlington,2023-04-17
San Antonio,1762,3,2.5,0.209,2003,21,3.7,37.9,0.0223,233549,132.55,78216,San Antonio-New Braunfels,2024-02-01
Fort Worth,3066,4,3.0,0.111,1966,58,9.9,34.4,0.022,641765,209.32,76107,Dallas-Fort Worth-Arlington,2024-05-05
San Antonio,1373,3,2.0,0.076,2007,17,7.2,20.9,0.0245,171327,124.78,78209,San Antonio-New Braunfels,2023-05-04
Austin,3079,3,2.0,0.086,1970,54,6.8,17.1,0.0204,939452,305.12,78750,Austin-Round Rock-Georgetown,2023-01-15
Houston,1721,4,3.5,0.286,1972,52,6.5,22.4,0.0237,317888,184.71,77002,Houston-The Woodlands-Sugar Land,2024-06-08
Austin,1731,3,2.0,0.239,1960,64,6.3,9.0,0.0208,492801,284.69,78703,Austin-Round Rock-Georgetown,2023-10-13
Austin,1512,4,3.0,0.07,1982,42,7.7,12.8,0.02,473707,313.3,78701,Austin-Round Rock-Georgetown,2024-02-29
Dallas,1773,3,2.5,0.121,1977,47,9.0,23.0,0.0212,348621,196.63,75254,Dallas-Fort Worth-Arlington,2023-06-25
San Antonio,2023,4,4.0,0.371,2004,20,6.6,33.7,0.0238,319413,157.89,78216,San Antonio-New Braunfels,2023-06-13
San Antonio,1802,2,2.0,0.641,1971,53,6.6,13.1,0.022,217521,120.71,78258,San Antonio-New Braunfels,2023-05-04
Fort Worth,2339,2,2.0,0.108,2004,20,7.2,35.5,0.0196,433181,185.2,76109,Dallas-Fort Worth-Arlington,2023-04-29
San Antonio,1716,3,2.5,0.362,2002,22,6.8,26.3,0.023,279713,163.0,78216,San Antonio-New Braunfels,2023-09-15
San Antonio,2280,3,3.0,0.079,1972,52,9.6,12.0,0.024,353876,155.21,78216,San Antonio-New Braunfels,2023-02-27
Austin,2612,4,4.0,0.155,1996,28,10.0,17.4,0.0224,781340,299.13,78702,Austin-Round Rock-Georgetown,2024-04-05
Houston,2046,3,3.0,0.417,2010,14,6.4,22.5,0.0242,276762,135.27,77024,Houston-The Woodlands-Sugar Land,2023-10-07
Dallas,2386,2,1.0,0.22,1988,36,8.7,30.3,0.0219,441537,185.05,75230,Dallas-Fort Worth-Arlington,2024-05-15
San Antonio,2530,2,2.0,0.16,1995,29,7.5,15.7,0.0215,300224,118.67,78258,San Antonio-New Braunfels,2023-10-02
Austin,2438,4,3.0,0.379,1961,63,6.5,13.7,0.0213,791591,324.69,78704,Austin-Round Rock-Georgetown,2023-06-15
Dallas,2900,4,2.5,0.334,2005,19,7.0,16.8,0.0224,612257,211.12,75254,Dallas-Fort Worth-Arlington,2023-10-09
Dallas,2381,3,2.0,0.326,1996,28,8.6,19.8,0.0205,462292,194.16,75254,Dallas-Fort Worth-Arlington,2023-03-26
Austin,2014,5,4.5,0.077,2003,21,8.8,15.2,0.0199,786700,390.62,78704,Austin-Round Rock-Georgetown,2024-03-26
Houston,2064,3,2.5,0.145,1994,30,5.9,16.8,0.023,330032,159.9,77019,Houston-The Woodlands-Sugar Land,2024-01-29
Fort Worth,1869,3,2.0,1.054,1985,39,6.1,15.1,0.0251,331919,177.59,76102,Dallas-Fort Worth-Arlington,2023-03-22
Dallas,1322,3,2.0,0.311,1963,61,6.9,14.4,0.0236,254315,192.37,75204,Dallas-Fort Worth-Arlington,2023-11-15
Houston,2811,3,2.0,0.338,1977,47,8.3,23.5,0.0248,480738,171.02,77079,Houston-The Woodlands-Sugar Land,2023-10-22
San Antonio,2078,4,2.5,0.11,2001,23,6.4,17.9,0.0221,321168,154.56,78201,San Antonio-New Braunfels,2023-04-20
Houston,2113,2,1.5,0.259,1980,44,5.2,53.9,0.0229,274665,129.99,77019,Houston-The Woodlands-Sugar Land,2023-03-08
San Antonio,1759,3,2.5,0.538,2020,4,7.0,15.2,0.0231,267453,152.05,78230,San Antonio-New Braunfels,2024-02-20
Houston,1983,4,3.5,0.272,1990,34,7.0,29.7,0.0224,362349,182.73,77007,Houston-The Woodlands-Sugar Land,2023-05-25
Dallas,1523,4,3.0,0.095,2018,6,8.4,11.1,0.0213,369583,242.67,75254,Dallas-Fort Worth-Arlington,2023-10-11
Houston,1769,3,2.0,0.386,1965,59,7.8,31.8,0.0235,274277,155.05,77024,Houston-The Woodlands-Sugar Land,2023-05-16
Houston,1794,2,1.5,0.37,1967,57,6.0,22.4,0.0227,228639,127.45,77002,Houston-The Woodlands-Sugar Land,2023-12-24
Fort Worth,2088,2,1.0,0.096,1973,51,5.1,16.6,0.0217,284081,136.05,76102,Dallas-Fort Worth-Arlington,2023-01-27
Houston,2552,3,2.0,0.21,1980,44,5.9,23.3,0.0217,402517,157.73,77056,Houston-The Woodlands-Sugar Land,2023-07-16
Austin,1434,3,3.0,0.341,2008,16,6.8,10.0,0.0219,502526,350.44,78750,Austin-Round Rock-Georgetown,2023-10-27
Houston,3462,4,3.5,0.197,1989,35,8.1,13.7,0.0234,512242,147.96,77079,Houston-The Woodlands-Sugar Land,2023-08-29
San Antonio,1392,3,3.0,0.302,2023,1,7.6,12.5,0.0215,209908,150.8,78250,San Antonio-New Braunfels,2023-12-01
San Antonio,1459,3,3.0,0.195,1960,64,8.5,11.2,0.0239,200569,137.47,78201,San Antonio-New Braunfels,2023-04-09
Fort Worth,2023,4,4.0,0.182,2005,19,7.7,24.7,0.0213,419284,207.26,76109,Dallas-Fort Worth-Arlington,2023-08-30
Houston,3671,3,2.0,0.35,1986,38,5.0,27.7,0.022,518468,141.23,77002,Houston-The Woodlands-Sugar Land,2024-02-18
Houston,4016,4,3.5,0.467,1990,34,5.7,17.6,0.0242,694289,172.88,77002,Houston-The Woodlands-Sugar Land,2023-07-02
Austin,1189,3,3.0,0.453,2010,14,7.4,23.7,0.0233,348079,292.75,78745,Austin-Round Rock-Georgetown,2023-03-27
Dallas,1887,3,2.0,0.212,1990,34,6.9,15.9,0.022,357044,189.21,75205,Dallas-Fort Worth-Arlington,2024-04-08
Fort Worth,2079,3,2.0,0.218,2010,14,6.9,16.1,0.0221,310940,149.56,76109,Dallas-Fort Worth-Arlington,2024-03-01
San Antonio,1566,4,3.5,0.622,2007,17,6.5,17.5,0.022,250749,160.12,78250,San Antonio-New Braunfels,2024-01-08
Dallas,1388,3,2.5,0.152,1988,36,4.1,10.2,0.0235,267378,192.64,75201,Dallas-Fort Worth-Arlington,2024-03-12
Houston,3119,4,3.5,0.178,1994,30,5.6,39.0,0.0231,615411,197.31,77024,Houston-The Woodlands-Sugar Land,2024-03-02
Fort Worth,1774,3,2.5,0.522,1961,63,9.0,12.0,0.0213,294852,166.21,76132,Dallas-Fort Worth-Arlington,2024-02-13
Dallas,1382,4,3.5,0.186,2009,15,7.9,7.1,0.0233,299170,216.48,75205,Dallas-Fort Worth-Arlington,2023-10-06
Austin,2229,3,3.0,0.169,2021,3,5.6,14.4,0.0217,633458,284.19,78704,Austin-Round Rock-Georgetown,2023-01-11
Houston,2195,4,3.0,0.35,2022,2,6.1,18.0,0.0225,423576,192.97,77019,Houston-The Woodlands-Sugar Land,2023-11-23
Austin,1876,4,3.5,0.238,2002,22,9.7,19.4,0.0222,695738,370.86,78750,Austin-Round Rock-Georgetown,2023-05-30
Houston,1388,4,3.0,0.151,2017,7,5.5,8.6,0.0217,236645,170.49,77002,Houston-The Woodlands-Sugar Land,2024-02-27
Austin,1860,2,1.5,0.139,2000,24,9.4,12.9,0.0222,563155,302.77,78750,Austin-Round Rock-Georgetown,2023-09-14
Houston,1378,2,2.0,0.219,2022,2,5.9,26.6,0.0217,205687,149.26,77056,Houston-The Woodlands-Sugar Land,2024-05-10
Dallas,2374,4,3.0,0.182,1995,29,7.4,39.0,0.0205,436056,183.68,75230,Dallas-Fort Worth-Arlington,2023-11-22
Houston,4870,4,4.0,0.165,2012,12,3.5,24.8,0.0238,750014,154.01,77019,Houston-The Woodlands-Sugar Land,2023-10-29
Houston,1823,3,2.0,0.106,2023,1,6.5,15.1,0.0227,265810,145.81,77024,Houston-The Woodlands-Sugar Land,2024-05-17
Fort Worth,2111,2,1.5,0.264,1980,44,7.2,9.7,0.0223,331509,157.04,76107,Dallas-Fort Worth-Arlington,2023-09-17
San Antonio,1854,4,3.0,0.526,1978,46,8.2,23.3,0.0215,238871,128.84,78205,San Antonio-New Braunfels,2023-07-25
Dallas,2764,3,3.0,0.364,1986,38,6.2,14.6,0.0225,485995,175.83,75254,Dallas-Fort Worth-Arlington,2023-07-23
Houston,2032,4,4.0,0.495,2016,8,8.2,22.1,0.0207,351824,173.14,77024,Houston-The Woodlands-Sugar Land,2024-04-23
Fort Worth,2489,3,2.0,0.287,1961,63,8.8,15.0,0.0212,432628,173.82,76109,Dallas-Fort Worth-Arlington,2024-02-18
Houston,2333,3,3.0,0.145,1980,44,6.9,27.5,0.0226,397233,170.27,77002,Houston-The Woodlands-Sugar Land,2023-03-31
Houston,2195,4,4.0,0.293,2009,15,6.0,16.0,0.0242,414952,189.04,77056,Houston-The Woodlands-Sugar Land,2023-09-27
Fort Worth,1456,3,2.5,0.166,1988,36,8.2,18.8,0.0219,197348,135.54,76109,Dallas-Fort Worth-Arlington,2023-07-23
Dallas,1777,5,4.5,0.321,1985,39,6.9,16.6,0.0207,396533,223.15,75254,Dallas-Fort Worth-Arlington,2023-12-20
San Antonio,1335,5,4.5,0.579,2002,22,6.2,17.9,0.022,196458,147.16,78201,San Antonio-New Braunfels,2023-01-29
Dallas,2648,3,2.5,0.174,1983,41,7.5,12.5,0.0202,481958,182.01,75225,Dallas-Fort Worth-Arlington,2024-01-26
Dallas,1597,4,2.5,0.087,1967,57,7.6,19.5,0.023,312285,195.54,75225,Dallas-Fort Worth-Arlington,2024-02-11
Houston,2662,3,2.0,0.095,1971,53,3.6,26.6,0.0234,386913,145.35,77024,Houston-The Woodlands-Sugar Land,2023-05-04
Houston,1794,3,2.0,0.301,1977,47,7.5,52.0,0.0227,253059,141.06,77002,Houston-The Woodlands-Sugar Land,2023-03-24
Houston,1339,4,3.0,0.307,1963,61,10.0,25.9,0.0217,234743,175.31,77019,Houston-The Woodlands-Sugar Land,2023-12-10
Austin,1418,3,3.0,0.127,2001,23,6.4,31.0,0.0218,410095,289.21,78703,Austin-Round Rock-Georgetown,2023-05-21
Fort Worth,2485,3,2.0,0.353,1965,59,7.2,28.0,0.0226,415029,167.01,76109,Dallas-Fort Worth-Arlington,2024-05-30
Houston,1965,3,2.0,0.296,1994,30,7.3,16.2,0.0222,307666,156.57,77007,Houston-The Woodlands-Sugar Land,2024-02-29
Dallas,1725,4,4.0,0.211,1987,37,8.7,23.7,0.0194,395327,229.18,75205,Dallas-Fort Worth-Arlington,2024-06-06
San Antonio,1649,5,4.5,0.208,1976,48,6.4,15.8,0.0238,275010,166.77,78230,San Antonio-New Braunfels,2023-10-20
San Antonio,2700,4,3.0,0.08,1963,61,7.8,12.7,0.0232,384228,142.31,78201,San Antonio-New Braunfels,2024-05-28
Houston,1471,4,3.5,0.465,1972,52,6.9,17.8,0.023,229303,155.88,77056,Houston-The Woodlands-Sugar Land,2023-01-08
Dallas,1991,5,4.0,0.314,2004,20,7.5,8.6,0.0229,466475,234.29,75230,Dallas-Fort Worth-Arlington,2023-06-08
Fort Worth,1682,3,3.0,0.116,2000,24,9.2,19.8,0.0217,306020,181.94,76102,Dallas-Fort Worth-Arlington,2023-01-02
Dallas,2849,4,4.0,0.12,1982,42,8.8,27.3,0.0217,679848,238.63,75201,Dallas-Fort Worth-Arlington,2024-01-06
San Antonio,2440,2,2.0,0.285,1968,56,5.5,16.0,0.0228,268999,110.25,78250,San Antonio-New Braunfels,2023-10-07
Fort Worth,1870,4,3.0,0.077,2022,2,6.5,15.7,0.0228,355705,190.22,76107,Dallas-Fort Worth-Arlington,2023-06-07
San Antonio,3342,3,3.0,0.27,2010,14,6.1,24.6,0.0212,451537,135.11,78258,San Antonio-New Braunfels,2023-06-16
Houston,2407,4,3.0,0.534,1998,26,6.6,8.6,0.02,374738,155.69,77019,Houston-The Woodlands-Sugar Land,2023-12-19
Dallas,1988,3,3.0,0.129,1964,60,5.9,14.6,0.022,376443,189.36,75205,Dallas-Fort Worth-Arlington,2023-04-09
Austin,1499,4,3.0,0.107,1995,29,7.4,24.0,0.0214,454718,303.35,78702,Austin-Round Rock-Georgetown,2023-10-09
Dallas,2640,3,3.0,0.377,2013,11,8.4,13.3,0.022,496857,188.2,75225,Dallas-Fort Worth-Arlington,2023-12-02
Fort Worth,1861,3,3.0,0.149,1997,27,6.7,26.1,0.0217,276780,148.73,76102,Dallas-Fort Worth-Arlington,2023-05-12
Dallas,1598,3,2.0,0.243,2001,23,7.5,12.1,0.0222,299599,187.48,75205,Dallas-Fort Worth-Arlington,2023-05-05
Houston,1492,4,2.5,0.414,1963,61,6.1,39.7,0.0225,244929,164.16,77019,Houston-The Woodlands-Sugar Land,2023-07-13
